id_session,id_athlete,date_seance,rpe_session,duree_minutes,charge_travail,surface_jeu
1,1,2024-01-01,5.678474864297882,79.10656374672882,548.4179622689803,0
2,1,2024-01-02,6.411925732134339,116.95465434734244,538.0438147227701,1
3,1,2024-01-03,6.643242015457717,96.3547416599244,647.7843385692793,1
4,1,2024-01-04,6.194426864624978,97.61913035697924,336.55343088974564,0
5,1,2024-01-05,5.8358036037255205,83.15552693347148,496.07635208102886,0
6,1,2024-01-06,6.228434194645194,94.10240753554076,684.4010463634773,3
7,1,2024-01-07,9.341228590026658,128.08610326703774,1081.0652952570529,4
8,1,2024-01-08,5.242513032042338,86.9241835816236,470.0694416749527,1
9,1,2024-01-09,6.751029833696846,92.59381249314016,826.062286372832,1
10,1,2024-01-10,5.702789503406281,72.82276508447661,357.58066815627274,1
11,1,2024-01-11,7.518757236331652,108.94867795413906,714.9486827511137,0
12,1,2024-01-12,7.132896670378475,104.12170172596949,909.8476366432794,4
13,1,2024-01-13,9.427043422362168,133.2293097827235,1695.0012459636887,4
14,1,2024-01-14,6.39497174600736,67.83897216202928,691.005219001358,1
15,1,2024-01-15,8.499641582976343,62.47069198723789,590.2441803573599,3
16,1,2024-01-16,5.5091932128589125,102.1892393939227,647.4618566169,0
17,1,2024-01-17,7.803644852678541,67.61496239588203,586.2015750583377,1
18,1,2024-01-18,6.227249093893735,85.95670950691864,1255.2013263227648,0
19,1,2024-01-19,5.286775950457994,56.37358631867555,535.3149621384329,0
20,1,2024-01-20,6.183090906176724,89.83469515232512,892.6009299644825,1
21,1,2024-01-21,6.187865448405828,107.7310796939999,720.9532683883898,3
22,1,2024-01-22,8.05477861608001,116.10676079760952,672.4448422255375,1
23,1,2024-01-23,6.138806160335389,56.06220404573007,481.6888140243629,0
24,1,2024-01-24,6.2765289817064085,95.94320957575384,818.2797814467483,3
25,1,2024-01-25,6.906572747183172,80.29917675052248,671.4562275986251,4
26,1,2024-01-26,9.66329569448249,149.82305493063404,1280.6118467854444,3
27,1,2024-01-27,4.908880110992072,85.53539971864002,483.5191525362338,3
28,1,2024-01-28,8.843379335642753,105.88294304215977,916.028417409839,2
29,1,2024-01-29,6.278849821279919,84.83153354037795,574.0292645456603,1
30,1,2024-01-30,7.138246604103059,92.12730565592656,531.3728451145154,1
31,1,2024-01-31,8.01561001085191,113.60738078731228,758.1305773615678,2
32,1,2024-02-01,7.730459280956087,101.05476408044098,996.3697915757408,0
33,1,2024-02-02,6.757290359783323,93.1603600108099,590.1402056856623,2
34,1,2024-02-03,4.70247290451354,91.05642665952251,211.42596716023183,0
35,1,2024-02-04,4.480324198773273,75.16826916088368,447.2228834620636,4
36,1,2024-02-05,4.536182007133812,40.76859159737647,216.75477125171935,3
37,1,2024-02-06,5.859492080413033,61.22629851946122,281.8905520029967,2
38,1,2024-02-07,6.73211565527003,64.4286578076655,639.8432816979969,2
39,1,2024-02-08,7.180068124780148,101.62699649533197,672.5594299039747,3
40,1,2024-02-09,5.944517445062899,114.879550170216,627.1977104291632,0
41,1,2024-02-10,6.182309201578465,108.84404060886853,706.3925442124803,0
42,1,2024-02-11,4.634001224685604,121.50133350406205,760.6847942631327,4
43,1,2024-02-12,7.231722370451919,91.32477043569068,701.5942469096038,2
44,1,2024-02-13,5.743739394796645,90.24380096233462,686.6485013401555,3
45,1,2024-02-14,7.97213336835978,107.86385152328802,815.4365038341691,4
46,1,2024-02-15,2.671235166825153,51.01416494223198,220.9821428571429,3
